param_0,param_1,param_2,param_3,param_4,param_5,TE0,TE1,TE2
5.513e-07,9.39e-07,1.1305e-06,2.0016e-06,1.9758e-06,1.0959e-06,0.2558,0.0128,0.2049
1.3777e-06,1.8351e-06,1.4095e-06,4.767e-07,1.3416e-06,1.1275e-06,0.197,0.0077,0.0636
1.877e-07,9.247e-07,1.9372e-06,1.5229e-06,1.8689e-06,2.0506e-06,0.0311,0.0216,0.0905
8.997e-07,4.745e-07,1.7415e-06,1.0916e-06,5.619e-07,1.554e-06,0.5079,0.0104,0.1451
1.9247e-06,1.6041e-06,1.777e-06,1.241e-06,4.144e-07,2.0288e-06,0.1786,0.0524,0.0425
1.7343e-06,2.673e-07,1.1555e-06,2.371e-07,9.955e-07,3.06e-07,0.056,0.3372,0.0165
1.6577e-06,7.458e-07,1.7777e-06,1.342e-07,2.0699e-06,1.5759e-06,0.2518,0.1393,0.069
4.688e-07,1.598e-06,1.8626e-06,2.1866e-06,1.5551e-06,1.3002e-06,0.1941,0.0042,0.0864
1.968e-06,7.293e-07,1.3497e-06,4.945e-07,1.0172e-06,7.427e-07,0.4586,0.0132,0.1022
1.0824e-06,1.1124e-06,1.4658e-06,1.1141e-06,1.2141e-06,1.8259e-06,0.2804,0.0056,0.1488
5.522e-07,1.635e-07,1.09e-06,1.2539e-06,1.9419e-06,2.1759e-06,0.076,0.0147,0.0254
1.5526e-06,1.7602e-06,4.862e-07,1.7492e-06,1.8933e-06,1.1379e-06,0.1934,0.1154,0.0255
1.0676e-06,3.922e-07,1.2535e-06,1.0167e-06,4.709e-07,8.077e-07,0.2092,0.1455,0.0961
2.0763e-06,1.7257e-06,3.064e-07,8.284e-07,5.792e-07,1.9215e-06,0.2563,0.0591,0.0259
1.9285e-06,1.6113e-06,1.6102e-06,1.4431e-06,7.958e-07,5.517e-07,0.2992,0.0947,0.0548
3.501e-07,1.3539e-06,5.768e-07,3.246e-07,1.3851e-06,8.094e-07,0.4258,0.0831,0.1124
1.8778e-06,2.673e-07,1.9636e-06,2.529e-07,9.991e-07,2.0401e-06,0.1086,0.1776,0.0683
8.622e-07,1.922e-07,9.218e-07,1.1567e-06,1.1545e-06,7.759e-07,0.2219,0.1854,0.1557
7.799e-07,2.1609e-06,2.1894e-06,2.793e-07,1.7126e-06,1.6407e-06,0.1933,0.0204,0.0911
8.331e-07,9.713e-07,8.27e-07,1.3127e-06,1.2483e-06,1.3348e-06,0.3298,0.374,0.0844
8.417e-07,4.417e-07,1.9756e-06,1.8323e-06,1.2059e-06,1.0732e-06,0.1887,0.1363,0.3023
3.826e-07,1.1785e-06,5.549e-07,1.7492e-06,1.8933e-06,1.8457e-06,0.1101,0.0561,0.1384
7.799e-07,1.8717e-06,2.1894e-06,1.8349e-06,1.5577e-06,1.6407e-06,0.3147,0.0126,0.0129
2.839e-07,1.635e-07,8.521e-07,1.733e-06,2.097e-07,2.379e-07,0.0875,0.1359,0.184
1.3434e-06,6.438e-07,6.134e-07,1.2293e-06,9.814e-07,2.1992e-06,0.2801,0.1453,0.07
2.0763e-06,1.8136e-06,3.714e-07,8.223e-07,5.379e-07,1.9215e-06,0.2822,0.0591,0.0199
9.818e-07,1.2882e-06,1.5073e-06,5.159e-07,1.9402e-06,1.002e-06,0.2012,0.0309,0.1085
2.0251e-06,1.5748e-06,1.1526e-06,1.1628e-06,6.425e-07,1.098e-07,0.1599,0.0608,0.2251
1.0336e-06,1.7012e-06,1.177e-07,1.294e-07,2.0136e-06,3.145e-07,0.0295,0.0703,0.2376
1.7746e-06,6.657e-07,1.3236e-06,1.537e-07,1.4906e-06,8.267e-07,0.1402,0.0175,0.232
1.304e-07,1.4217e-06,7.253e-07,4.933e-07,3.037e-07,6.926e-07,0.1439,0.067,0.1197
1.4901e-06,1.4204e-06,5.218e-07,9.541e-07,5.539e-07,1.3013e-06,0.4688,0.0603,0.0152
1.4901e-06,6.948e-07,5.218e-07,8.5e-07,2.0444e-06,1.1006e-06,0.3729,0.1126,0.1062
1.215e-07,1.5098e-06,7.199e-07,9.966e-07,3.001e-07,1.6839e-06,0.0715,0.0324,0.0319
2.844e-07,5.554e-07,4.595e-07,1.1806e-06,1.3788e-06,9.363e-07,0.0714,0.2442,0.5809
2.83e-07,7.008e-07,8.5e-07,1.3385e-06,1.61e-07,2.379e-07,0.0149,0.1988,0.1031
3.886e-07,1.2055e-06,1.917e-07,2.354e-07,1.0137e-06,5.639e-07,0.3203,0.0876,0.1024
1.0177e-06,1.268e-07,1.2271e-06,7.202e-07,9.809e-07,2.524e-07,0.0549,0.0061,0.0093
8.997e-07,5.624e-07,1.7233e-06,1.0911e-06,6.449e-07,1.554e-06,0.472,0.0202,0.1737
1.9381e-06,2.0982e-06,1.8768e-06,1.6767e-06,2.532e-07,1.4375e-06,0.0679,0.0497,0.0451
3.677e-07,1.3997e-06,8.007e-07,6.603e-07,5.82e-07,1.2364e-06,0.5081,0.057,0.2853
9.775e-07,1.2831e-06,1.1382e-06,1.4997e-06,1.8689e-06,3.24e-07,0.156,0.1923,0.1811
1.1143e-06,6.503e-07,2.1763e-06,1.0266e-06,1.423e-07,1.9912e-06,0.2541,0.0243,0.032
5.177e-07,1.0066e-06,1.4478e-06,1.84e-06,1.559e-06,3.137e-07,0.13,0.0522,0.0111
1.0499e-06,4.46e-07,1.9756e-06,1.795e-06,2.0985e-06,3.382e-07,0.2094,0.06,0.0438
1.657e-07,1.0021e-06,1.4478e-06,3.84e-07,1.6199e-06,3.137e-07,0.1594,0.0424,0.0431
5.339e-07,5.874e-07,1.451e-06,4.391e-07,1.9273e-06,5.565e-07,0.655,0.0776,0.0005
8.47e-07,1.4123e-06,8.27e-07,1.3127e-06,1.2483e-06,1.3348e-06,0.2352,0.249,0.1375
5.339e-07,1.4104e-06,1.451e-06,4.391e-07,1.9273e-06,5.351e-07,0.42,0.0491,0.0409
5.349e-07,9.715e-07,8.407e-07,1.2615e-06,2.1405e-06,1.0959e-06,0.3007,0.087,0.0955
2.0247e-06,1.7872e-06,1.906e-07,3.251e-07,6.45e-07,5.639e-07,0.0928,0.002,0.2335
8.685e-07,1.4259e-06,1.1382e-06,1.4997e-06,1.8754e-06,3.24e-07,0.195,0.1088,0.2155
1.9652e-06,6.962e-07,5.218e-07,9.114e-07,1.9972e-06,7.473e-07,0.4063,0.1029,0.0022
7.968e-07,3.553e-07,1.7338e-06,1.0447e-06,1.1584e-06,7.849e-07,0.3486,0.2488,0.1287
3.677e-07,1.3735e-06,7.429e-07,6.603e-07,5.82e-07,1.1992e-06,0.5598,0.0529,0.2323
8.417e-07,5.489e-07,1.9756e-06,1.8323e-06,1.1635e-06,2.079e-06,0.2082,0.0609,0.2308
2.83e-07,5.87e-07,8.5e-07,4.477e-07,1.61e-07,5.346e-07,0.471,0.4703,0.0416
1.857e-06,1.995e-07,2.04e-06,2.529e-07,9.991e-07,2.0401e-06,0.0839,0.1742,0.0475
